,M_t,F_t,C_t,Q_t,REPORT_VALID,event_risk_multiplier
2025-08-27 00:00:00-04:00,-0.1677622816133001,0.23353463362170052,0.9805924097535746,1.0,True,1.0
2025-08-28 00:00:00-04:00,-0.1677622816133001,0.033263531817871415,0.9865501250204571,1.0,True,1.0
2025-08-29 00:00:00-04:00,-0.1677622816133001,0.02871214104386424,0.9860949859430563,1.0,True,1.0
2025-08-30 00:00:00-04:00,-0.1677622816133001,-0.031047388302512663,0.9795452220055854,1.0,True,1.0
2025-08-31 00:00:00-04:00,-0.1677622816133001,0.012936402156972743,0.9845174120543673,1.0,True,1.0
2025-09-01 00:00:00-04:00,-0.1677622816133001,-0.058030383720957444,0.9774207334665743,1.0,True,1.0
2025-09-02 00:00:00-04:00,-0.1677622816133001,0.012308914718755087,0.9735981228180423,1.0,True,1.0
2025-09-03 00:00:00-04:00,-0.1677622816133001,-0.0127435685391273,0.9740912907864996,1.0,True,1.0
2025-09-04 00:00:00-04:00,-0.1677622816133001,0.08004882588940887,0.9893070585372592,1.0,True,1.0
2025-09-05 00:00:00-04:00,-0.1677622816133001,0.0353522650969396,0.9865508907962134,1.0,True,1.0
2025-09-06 00:00:00-04:00,-0.15870999403160074,0.004308340602124155,0.9845598346570523,1.0,True,1.0
2025-09-07 00:00:00-04:00,-0.15870999403160074,0.005142401513299929,0.9846432407481699,1.0,True,1.0
2025-09-08 00:00:00-04:00,-0.15870999403160074,0.06299255709085211,0.9904282563059252,1.0,True,1.0
2025-09-09 00:00:00-04:00,-0.15870999403160074,0.19498902514339067,0.9930917516644804,1.0,True,1.0
2025-09-10 00:00:00-04:00,-0.15870999403160074,0.2031287119748063,0.992379760668054,1.0,True,1.0
2025-09-11 00:00:00-04:00,-0.15870999403160074,0.25073128287579216,0.9864563165616402,1.0,True,1.0
2025-09-12 00:00:00-04:00,-0.16966630638110194,0.21284101978234626,0.9871839843432969,1.0,True,1.0
2025-09-13 00:00:00-04:00,-0.16966630638110194,0.1834303966630682,0.9815105868269813,1.0,True,1.0
2025-09-14 00:00:00-04:00,-0.16966630638110194,0.1291411356219801,0.9786025711187469,1.0,True,1.0
2025-09-15 00:00:00-04:00,-0.16966630638110194,0.23055144283602352,0.9807624401956337,1.0,True,1.0
2025-09-16 00:00:00-04:00,-0.16966630638110194,0.2666446455520952,0.9866023184677287,1.0,True,1.0
2025-09-17 00:00:00-04:00,-0.16966630638110194,0.2028084675106559,0.990646533536109,1.0,True,1.0
2025-09-18 00:00:00-04:00,-0.1702358864398461,0.15041636468288733,0.9905626710778668,1.0,True,1.0
2025-09-19 00:00:00-04:00,-0.17077698749565304,0.14169232209595212,0.9918187434663092,1.0,True,0.8
2025-09-20 00:00:00-04:00,-0.17077698749565304,0.014945074970052187,0.9844168087474399,1.0,True,1.0
2025-09-21 00:00:00-04:00,-0.17077698749565304,0.0776927758823567,0.9836918730369817,1.0,True,1.0
2025-09-22 00:00:00-04:00,-0.17077698749565304,0.033187433345023803,0.986241044584937,1.0,True,1.0
2025-09-23 00:00:00-04:00,-0.17077698749565304,0.059438615387286564,0.974989516393129,1.0,True,1.0
2025-09-24 00:00:00-04:00,-0.17077698749565304,0.018945734487724575,0.9763957247855592,1.0,True,1.0
2025-09-25 00:00:00-04:00,-0.17077698749565304,0.05456474034617279,0.9775329824183542,1.0,True,1.0
2025-09-26 00:00:00-04:00,-0.17077698749565304,-0.0642131794434875,0.9762613074066324,1.0,True,1.0
2025-09-27 00:00:00-04:00,-0.17077698749565304,-0.05566674747569605,0.9761860426933597,1.0,True,1.0
2025-09-28 00:00:00-04:00,-0.17077698749565304,-0.07947971769115092,0.9749743294813196,1.0,True,1.0
2025-09-29 00:00:00-04:00,-0.17077698749565304,0.0745501975061397,0.9809077319640149,1.0,True,1.0
2025-09-30 00:00:00-04:00,-0.17077698749565304,0.15946906316263912,0.9867344508439775,1.0,True,1.0
2025-10-01 00:00:00-04:00,-0.17077698749565304,0.19468500859152266,0.9870332440127169,1.0,True,1.0
2025-10-02 00:00:00-04:00,-0.17077698749565304,0.24154049850368978,0.9857305569412513,1.0,True,1.0
2025-10-03 00:00:00-04:00,-0.17077698749565304,0.19687726627109967,0.9852071988398168,1.0,True,1.0
2025-10-04 00:00:00-04:00,-0.17982827874385965,0.1350160929359006,0.9865613825022588,1.0,True,1.0
2025-10-05 00:00:00-04:00,-0.17982827874385965,0.09592203550160208,0.9814163825126467,1.0,True,1.0
2025-10-06 00:00:00-04:00,-0.17982827874385965,0.2064623206613314,0.9779677646612159,1.0,True,1.0
2025-10-07 00:00:00-04:00,-0.17982827874385965,0.1687626962447617,0.983997555016063,1.0,True,1.0
2025-10-08 00:00:00-04:00,-0.17982827874385965,0.03137285012565889,0.9701584654170134,1.0,True,1.0
2025-10-09 00:00:00-04:00,-0.17982827874385965,0.06089913398854606,0.9769083641141294,1.0,True,1.0
2025-10-10 00:00:00-04:00,-0.17982827874385965,-0.008723377845785965,0.9776972941130635,1.0,True,1.0
2025-10-11 00:00:00-04:00,-0.17982827874385965,-0.25446832688322596,0.9565703394372914,1.0,True,1.0
2025-10-12 00:00:00-04:00,-0.17982827874385965,-0.22000269567283537,0.9600169025583305,1.0,True,1.0
2025-10-13 00:00:00-04:00,-0.17982827874385965,-0.07457342590901908,0.970333868326158,1.0,True,1.0
2025-10-14 00:00:00-04:00,-0.17982827874385965,-0.017857435878694705,0.9649964431696538,1.0,True,1.0
2025-10-15 00:00:00-04:00,-0.17982827874385965,-0.036159362052081104,0.9643236347801873,1.0,True,1.0
2025-10-16 00:00:00-04:00,-0.17178188945643735,0.2054183337525734,0.9825507008314645,1.0,True,1.0
2025-10-17 00:00:00-04:00,-0.17178188945643735,0.04707727548804422,0.980788424456231,1.0,True,1.0
2025-10-18 00:00:00-04:00,-0.17178188945643735,-0.11245420800452895,0.9715763902539034,1.0,True,1.0
2025-10-19 00:00:00-04:00,-0.17178188945643735,-0.13959482448550883,0.9688623286058053,1.0,True,1.0
2025-10-20 00:00:00-04:00,-0.17178188945643735,-0.031087952887948987,0.9770623009709984,1.0,True,1.0
2025-10-21 00:00:00-04:00,-0.17178188945643735,-0.008276450391817299,0.9787137715958325,1.0,True,1.0
2025-10-22 00:00:00-04:00,-0.17178188945643735,-0.12783122764946836,0.9700386882894094,1.0,True,1.0
2025-10-23 00:00:00-04:00,-0.17178188945643735,-0.1403229472239792,0.9687895163319582,1.0,True,1.0
2025-10-24 00:00:00-04:00,-0.17178188945643735,-0.06547543464497309,0.976274267589859,1.0,True,1.0
2025-10-25 00:00:00-04:00,-0.17178188945643735,-0.11561513818071416,0.9712602972362848,1.0,True,1.0
2025-10-26 00:00:00-04:00,-0.17178188945643735,-0.043786109184023106,0.978443200135954,1.0,True,1.0
2025-10-27 00:00:00-04:00,-0.17178188945643735,0.0536406209184824,0.9881858731462045,1.0,True,1.0
2025-10-28 00:00:00-04:00,-0.17178188945643735,0.12975904464767357,0.98465443571636,1.0,True,1.0
2025-10-29 00:00:00-04:00,-0.17178188945643735,0.05503277164762968,0.9781824246237343,1.0,True,1.0
2025-10-30 00:00:00-04:00,-0.17224928571726728,0.06114744148495422,0.9732705806509547,1.0,True,1.0
2025-10-31 00:00:00-04:00,-0.16534398095970532,0.04159902330449855,0.9828630569389978,1.0,True,1.0
